,CONTENT,DATETIME,DOCID,TYPE
107,"월평공원에 우리가 살고있어요(늦반디불이-깃대종3): 늦반딧불이 <w:wrap type=""topAndBottom""></w:wrap> <o:lock v:ext=""edit"" aspectratio=""t""></... http://t.co/AsKklSVw",20120916212922,108,TWEET
108,월평공원에 우리가 살고있어요(가재-깃대종4) http://t.co/TZBZdBRb,20120916213013,109,TWEET
109,월평공원에 우리가 살고 있어요(두꺼비-깃대종5) http://t.co/L7gNk2MG,20120916213659,110,TWEET
110,월평공원에 우리가 살고 있어요(까치살모사-깃대종6) http://t.co/ok5lvQ2z,20120917235901,111,TWEET
111,월평공원에 우리가 살고 있어요(맹꽁이-깃대종7) http://t.co/m8zuIMAo,20120918220206,112,TWEET
112,월평공원에 우리가 살고 있어요(흰목물떼새-깃대종8) http://t.co/PasnWp4c,20120919194520,113,TWEET
113,월평공원에 우리가 살고 있어요(엽새우-깃대종9) http://t.co/AIlR1dBN,20120920233516,114,TWEET
114,월평공원에 우리가 살고 있어요(미호종개-깃대종10) http://t.co/KHmNFGpd,20120921215140,115,TWEET
115,"이도사 활동을 하면서: 나는 환경 문제에 별 관심도 없었고 깃대종이니 보호종이니 모두 휘귀종인줄 알고 쳔년 기념물인 줄만 알고 있었다. 활동을 하면서 국립공원, 갯벌, 습지 등을 다녀 보니 이렇게 아름... http://t.co/2q73xELH",20120923150501,116,TWEET
116,[공모전] 통영거제환경연합 '거제 대표 깃대종 공모전' 벌여 - 오마이뉴스 http://t.co/iNdWed2A <무한RT>>,20121005095949,117,TWEET
117,통영거제환경연합 '거제 대표 깃대종 공모전' 벌여 http://t.co/WsPkoNMJ,20121005100315,118,TWEET
118,통영거제환경연합 '거제 대표 깃대종 공모전' 벌여: 통영거제환경운동연합은 오는 20일 거제 독봉산웰빙공원에서 거제의 대표적 깃대종인 '수달'(천연기념물 제330호) '팔... http://t.co/eCy7ZNF9 (오마이뉴스),20121005100354,119,TWEET
119,통영거제환경연합 '거제 대표 깃대종 공모전' 벌여 http://t.co/zrlr6Lzn 통영거제환경운동연합은 오는 20일 거제 독봉산웰빙공원에서 거제의 대표적 깃대종인 '수달'(천연기념물 제330호) '팔색조'(천연기념물 제204호)를...,20121005100648,120,TWEET
